Filename,Pages,Image Reference,BDRC Reference
B1_001_01,3,"KDSB set 1, vol.1, pp.33-35",MW1PD89051_265FDF
B1_001_03,26,"KDSB set 1, vol.1, pp.45-70",MW1PD89051_DD64FE
B1_013_07,25,"KDSB set 1, vol.13, pp.595-619",MW1PD89051_412376
B1_013_08,11,"KDSB set 1, vol.13, pp.621-631",MW1PD89051_252854
B2_035_04,3,"KDSB set 2, vol.35, pp.431-433",MW1PD89084_5739DD
B2_044_04,1,"KDSB set 2, vol.44, p.128",MW1PD89084_D02E54
B2_045_02,3,"KDSB set 2, vol.45, pp.165-167",MW1PD89084_80F3EB
B3_075_05,11,"KDSB set 3, vol.75, pp.375-385",MW1PD153536_5D5D65
D1_001_12,40,"KDSB set 1, vol.2, pp. 370-409",MW1PD89051_925F97
D1_004_01,4,"KDSB set 1, vol.4, pp.3-6",MW1PD89051_065E98
D1_006_02,66,"KDSB set 1, vol.6, pp.186-251",MW1PD89051_527657
D1_007_03,2,"KDSB set 1, vol.7, pp.143-144",MW1PD89051_35285B
D1_007_07,5,"KDSB set 1, vol.7, pp.539-543",MW1PD89051_352389
D1_011_07,5,"KDSB set 1, vol.11, pp.299-303",MW1PD89051_DF4453
D1_013_01,240,"Tshad ma rnam par nges pa'i Ti ka legs bshad bsdus pa, folios 1b-121a",W1KG12371
D1_013_02,15,"KDSB set 1, vol. 13, pp.435-449",MW1PD89051_E95CE1
D1_019_02,11,"KDSB set 1, vol.19, pp.235-245",MW1PD89051_EDD5BE
D1_019_03,20,"KDSB set 1, vol.19, pp.247-266",MW1PD89051_A86036
D1_023_03,11,"KDSB set 1, vol.23, pp.445-455",MW1PD89051_47A9A4
D2_046_02,3,"KDSB set 2, vol.46, pp.33-35",MW1PD89084_1850BB
D2_047_01,9,"KDSB set 2, vol.47, pp.11-19",MW1PD89084_9E1627
D2_050_04,14,"KDSB set 2, vol.50, pp.157-170",MW1PD89084_626CB5
D3_064_03,5,"KDSB set 3, vol.64, pp.267-271",MW1PD153536_BDA84B
D3_066_01,6,"KDSB set 3, vol.66, pp.3-8",MW1PD153536_DD71AE
D3_076_13,2,"KDSB set 3, vol.76, pp.507-508",MW1PD153536_68E33F
DX_003,6,"rTog ge rigs pa'i brgyan gyi snying po, folios 1b-4a",W26453
DX_004,2,"Tshad ma rnam par nges pa'i Tik+ka rigs pa'i rgyan gyi snying po, folios 2a-2b",W00KG03840
